Flexao Direita		Flexao Esquerda		Torcao Direita		Torcao Esquerda		Roll			Pitch			Yaw
.891683			21.790033		22.268640		22.268641		-28.891684		-43.425907
-41.758277		28.890812		21.791002		22.276490		22.276489		-28.890812		-43.378361
-41.760930		28.895426		21.796700		22.282118		22.282118		-28.895426		-43.564564
-41.759269		28.896895		21.797123		22.287015		22.287014		-28.896894		-43.727245
-41.761211		28.902304		21.804817		22.295307		22.295307		-28.902304		-43.751270
-41.759522		28.903462		21.802925		22.294607		22.294607		-28.903461		-43.735153
-41.756541		28.900354		21.804465		22.296977		22.296976		-28.900354		-43.828579
-41.760500		28.900822		21.800704		22.296452		22.296452		-28.900822		-44.167965
-41.761979		28.902690		21.803219		22.298309		22.298309		-28.902691		-44.393005
-41.764421		28.903633		21.806132		22.296627		22.296627		-28.903633		-44.535786
-41.763116		28.904613		21.820608		22.301085		22.301085		-28.904613		-44.581600
-41.760222		28.904681		21.822982		22.303662		22.303661		-28.904680		-44.572620
-41.756639		28.898851		21.820585		22.307890		22.307890		-28.898851		-44.599934
-41.756302		28.898985		21.811002		22.305543		22.305544		-28.898985		-44.741760
-41.759348		28.901153		21.811120		22.308474		22.308474		-28.901154		-44.862564
-41.759434		28.898800		21.802529		22.312860		22.312860		-28.898800		-45.005028
-41.770418		28.904766		21.806446		22.316619		22.316618		-28.904766		-44.915398
-41.775955		28.907724		21.806859		22.311923		22.311922		-28.907724		-44.746639
-41.774385		28.908619		21.803527		22.311914		22.311914		-28.908619		-44.643600
-41.772771		28.907563		21.799531		22.309172		22.309172		-28.907564		-44.643585
-41.773109		28.908718		21.795817		22.307113		22.307112		-28.908718		-44.679520
-41.769671		28.907205		21.800070		22.306421		22.306421		-28.907206		-44.638393
-41.766265		28.906778		21.805308		22.310661		22.310661		-28.906778		-44.638130
-41.770811		28.907628		21.814345		22.309283		22.309282		-28.907629		-44.997360
-41.770172		28.908267		21.809374		22.310618		22.310617		-28.908266		-45.205421
-41.771090		28.913133		21.814314		22.309864		22.309864		-28.913134		-45.314632
-41.767227		28.911135		21.826849		22.313760		22.313761		-28.911135		-45.062168
-41.772254		28.914168		21.827448		22.316530		22.316530		-28.914167		-44.919106
-41.769639		28.913632		21.813673		22.312027		22.312027		-28.913631		-44.811398
-41.777699		28.918734		21.811792		22.312514		22.312513		-28.918734		-44.660713
-41.781538		28.920356		21.811244		22.311822		22.311823		-28.920357		-44.606434
-41.783809		28.923303		21.823492		22.314959		22.314959		-28.923304		-44.637756
-41.785030		28.921043		21.819368		22.314038		22.314039		-28.921043		-44.547554
-41.785914		28.923013		21.828488		22.316400		22.316401		-28.923014		-44.238888
-41.789451		28.924444		21.836219		22.323341		22.323341		-28.924444		-44.154449
-41.786089		28.927787		21.847931		22.323766		22.323767		-28.927788		-44.202415
-41.782636		28.923327		21.853682		22.327537		22.327538		-28.923326		-44.161293
-41.779002		28.920302		21.859703		22.328034		22.328033		-28.920301		-44.047890
-41.783429		28.925144		21.862037		22.325156		22.325157		-28.925144		-43.991020
-41.788256		28.926094		21.859622		22.326309		22.326309		-28.926094		-43.685513
-41.778174		28.922880		21.843896		22.321748		22.321749		-28.922880		-43.497829
-41.777352		28.921203		21.860302		22.327957		22.327957		-28.921204		-43.589626
-41.769153		28.914930		21.863196		22.325062		22.325062		-28.914930		-43.648388
-41.764568		28.918352		21.863556		22.325995		22.325994		-28.918352		-43.719776
-41.766664		28.924765		21.861107		22.325636		22.325636		-28.924765		-43.942696
-41.767853		28.926695		21.851800		22.326580		22.326580		-28.926695		-44.305153
-41.766237		28.925933		21.852624		22.324287		22.324287		-28.925934		-44.480366
-41.760765		28.921879		21.865688		22.319417		22.319418		-28.921879		-44.625832
-41.765078		28.919291		21.872718		22.319952		22.319952		-28.919291		-44.777851
-41.765837		28.920059		21.870028		22.321512		22.321512		-28.920059		-44.871449
-41.759237		28.916241		21.869239		22.322093		22.322092		-28.916241		-44.832512
-41.762406		28.913185		21.873256		22.321815		22.321815		-28.913185		-44.788704
-41.770863		28.915090		21.869629		22.321354		22.321354		-28.915091		-44.698669
-41.767196		28.912956		21.870698		22.325298		22.325298		-28.912956		-44.401318
-41.773831		28.914387		21.891807		22.332055		22.332054		-28.914387		-44.430267
-41.777430		28.916501		21.890195		22.332079		22.332079		-28.916500		-44.429043
-41.764397		28.909882		21.881851		22.326838		22.326838		-28.909882		-44.312637
-41.763350		28.909664		21.887080		22.327415		22.327415		-28.909664		-44.191364
-41.768224		28.910070		21.878270		22.323703		22.323704		-28.910070		-44.110340
-41.769215		28.911699		21.873563		22.325339		22.325338		-28.911699		-44.062180
-41.759508		28.907946		21.866873		22.325079		22.325079		-28.907946		-44.123249
-41.752054		28.909114		21.877367		22.324364		22.324364		-28.909113		-44.210033
-41.752072		28.905886		21.893088		22.325769		22.325769		-28.905886		-44.313469
-41.754866		28.904008		21.899271		22.327731		22.327732		-28.904009		-44.463993
-41.758960		28.909797		21.896495		22.329920		22.329920		-28.909798		-44.577358
-41.770558		28.912239		21.890532		22.331903		22.331903		-28.912239		-44.661903
-41.778809		28.918973		21.881873		22.330904		22.330904		-28.918974		-44.798630
-41.780298		28.921036		21.882916		22.335682		22.335682		-28.921036		-44.819599
-41.776814		28.916712		21.880164		22.330308		22.330309		-28.916712		-44.859249
-41.773497		28.912655		21.868221		22.325448		22.325449		-28.912655		-44.876621
-41.774210		28.912092		21.867367		22.325377		22.325377		-28.912092		-44.885342
-41.784813		28.920086		21.866598		22.327409		22.327408		-28.920086		-44.966656
-41.789042		28.917754		21.855565		22.323912		22.323912		-28.917753		-44.988617
-41.782599		28.913994		21.852326		22.325351		22.325352		-28.913994		-44.960613
-41.785197		28.915305		21.845850		22.325283		22.325283		-28.915306		-44.933170
-41.782533		28.915121		21.857380		22.324181		22.324181		-28.915121		-45.017963
-41.786241		28.918615		21.848397		22.323249		22.323250		-28.918615		-44.983707
-41.795647		28.921726		21.857438		22.325752		22.325752		-28.921726		-44.875824
-41.796999		28.923099		21.858395		22.323350		22.323349		-28.923100		-44.761444
-41.807824		28.930779		21.861126		22.332323		22.332323		-28.930779		-44.780384
-41.811589		28.934467		21.863884		22.333786		22.333786		-28.934467		-44.799633
-41.811738		28.932763		21.860022		22.331537		22.331537		-28.932764		-44.816814
-41.808589		28.930100		21.876281		22.331713		22.331713		-28.930099		-44.817104
-41.807816		28.931865		21.866793		22.327397		22.327396		-28.931866		-44.762882
-41.808952		28.934047		21.882580		22.335887		22.335886		-28.934048		-44.603489
-41.806405		28.931220		21.872131		22.336377		22.336376		-28.931219		-44.563042
-41.806829		28.932992		21.873349		22.330786		22.330786		-28.932993		-44.548645
-41.816338		28.936732		21.871307		22.336578		22.336578		-28.936731		-44.564301
-41.815536		28.935929		21.863751		22.329022		22.329021		-28.935928		-44.773762
-41.808997		28.931384		21.857453		22.333337		22.333338		-28.931383		-44.983273
-41.809879		28.934478		21.851607		22.334411		22.334412		-28.934477		-45.062389
-41.803370		28.931503		21.845402		22.328165		22.328165		-28.931503		-44.926937
-41.805718		28.930714		21.840818		22.328614		22.328613		-28.930714		-44.758785
-41.807757		28.934430		21.832053		22.323765		22.323765		-28.934429		-44.628178
-41.810086		28.936411		21.829327		22.330025		22.330025		-28.936411		-44.593552
-41.806825		28.933409		21.836368		22.328508		22.328508		-28.933409		-44.631691
-41.802412		28.929625		21.830294		22.332325		22.332325		-28.929625		-44.771984
-41.806201		28.930957		21.819458		22.323058		22.323057		-28.930956		-45.087151
-41.816277		28.928156		21.818149		22.325727		22.325727		-28.928156		-45.482952
-41.812503		28.928474		21.817857		22.322385		22.322386		-28.928474		-45.787769
-41.813184		28.926681		21.813066		22.322989		22.322989		-28.926682		-45.968063
-41.807279		28.928433		21.804112		22.321553		22.321554		-28.928432		-45.995182
-41.808922		28.926227		21.800457		22.324106		22.324106		-28.926228		-45.985100
-41.801392		28.923450		21.805355		22.324316		22.324316		-28.923450		-45.806652
-41.798282		28.921538		21.810800		22.321914		22.321913		-28.921537		-45.511185
-41.802243		28.922183		21.802504		22.316728		22.316729		-28.922184		-45.150490
-41.805337		28.920257		21.798608		22.316327		22.316326		-28.920258		-45.045799
-41.799061		28.918556		21.808352		22.320916		22.320917		-28.918556		-44.820263
-41.804997		28.923655		21.818647		22.324388		22.324389		-28.923655		-44.689438
-41.793420		28.919591		21.822143		22.328319		22.328320		-28.919592		-44.836861
-41.793647		28.924348		21.820375		22.331309		22.331308		-28.924349		-44.932377
-41.785123		28.916306		21.814383		22.333704		22.333704		-28.916306		-44.584629
-41.777628		28.914069		21.805471		22.329975		22.329975		-28.914068		-44.334885
-41.774268		28.912126		21.825964		22.324275		22.324276		-28.912127		-44.179379
-41.773489		28.914161		21.830676		22.324391		22.324390		-28.914162		-44.122440
-41.773146		28.913728		21.829310		22.326937		22.326937		-28.913727		-44.085331
-41.773173		28.916313		21.836239		22.324965		22.324965		-28.916313		-44.191406
-41.766845		28.909985		21.839135		22.327861		22.327862		-28.909985		-44.292709
-41.774834		28.915049		21.827925		22.322976		22.322975		-28.915049		-44.356808
-41.775230		28.911381		21.839212		22.323814		22.323814		-28.911381		-44.245880
-41.765289		28.907819		21.844227		22.323707		22.323706		-28.907820		-44.184765
-41.765008		28.910763		21.853985		22.322308		22.322308		-28.910763		-44.149101
-41.770518		28.913697		21.837126		22.317749		22.317749		-28.913696		-44.174065
-41.770570		28.910606		21.840697		22.315883		22.315882		-28.910606		-44.356236
-41.779175		28.913844		21.828612		22.311796		22.311796		-28.913843		-44.481743
-41.784300		28.911812		21.834517		22.311906		22.311905		-28.911812		-44.615398
-41.786945		28.915920		21.829284		22.311650		22.311649		-28.915920		-44.775543
-41.788667		28.913249		21.822414		22.307741		22.307741		-28.913250		-44.832153
-41.790289		28.914807		21.818172		22.309174		22.309174		-28.914806		-44.777164
-41.783873		28.913738		21.817571		22.313123		22.313124		-28.913738		-44.672939
-41.785719		28.915292		21.818452		22.316029		22.316029		-28.915291		-44.675304
-41.788346		28.920841		21.821617		22.318149		22.318148		-28.920841		-44.825272
-41.791372		28.924147		21.824884		22.326840		22.326839		-28.924147		-45.171345
-41.793939		28.920394		21.809649		22.320770		22.320770		-28.920393		-45.452473
-41.795258		28.921183		21.806729		22.322848		22.322847		-28.921183		-45.584782
-41.792891		28.919082		21.803273		22.320597		22.320597		-28.919083		-45.517826
-41.792181		28.918372		21.806075		22.323399		22.323399		-28.918371		-45.437973
-41.795310		28.921289		21.802849		22.321997		22.321997		-28.921289		-45.256500
-41.800091		28.926070		21.800284		22.319433		22.319433		-28.926069		-45.002670
-41.800127		28.928440		21.790285		22.317168		22.317169		-28.928440		-44.851871
-41.800192		28.926476		21.797415		22.316590		22.316589		-28.926476		-44.892345
-41.789976		28.920414		21.796883		22.318878		22.318878		-28.920414		-45.016075
-41.785532		28.923133		21.806687		22.322747		22.322746		-28.923132		-44.946732
-41.786265		28.919823		21.803343		22.326855		22.326855		-28.919823		-44.862431
-41.788873		28.922303		21.803433		22.322475		22.322475		-28.922302		-44.789852
-41.796269		28.929181		21.803624		22.323512		22.323511		-28.929180		-44.827785
-41.799189		28.932101		21.806045		22.325933		22.325933		-28.932100		-44.821129
-41.815917		28.930479		21.794871		22.322773		22.322773		-28.930479		-44.858063
-41.822155		28.929543		21.797708		22.322904		22.322905		-28.929543		-44.903725
-41.817203		28.924943		21.806638		22.322571		22.322571		-28.924942		-44.882782
-41.820222		28.923187		21.799190		22.322993		22.322992		-28.923187		-44.860416
-41.813208		28.925151		21.783536		22.315953		22.315952		-28.925152		-44.855274
-41.806096		28.925790		21.787831		22.319899		22.319899		-28.925789		-44.939804
-41.805144		28.925462		21.782350		22.317201		22.317202		-28.925463		-45.131207
-41.802955		28.922894		21.780243		22.316830		22.316830		-28.922894		-45.494263
-41.804061		28.923983		21.784867		22.321873		22.321873		-28.923983		-45.746090
-41.799175		28.926087		21.779401		22.318186		22.318186		-28.926086		-45.844749
-41.799235		28.929041		21.783058		22.315934		22.315933		-28.929041		-45.861889
-41.803582		28.933388		21.782654		22.315529		22.315529		-28.933388		-45.825687
-41.789426		28.927200		21.783823		22.316946		22.316946		-28.927200		-45.812649
-41.787579		28.924973		21.798034		22.321207		22.321207		-28.924973		-45.646580
-41.782069		28.923655		21.797269		22.320836		22.320837		-28.923655		-45.591633
-41.781860		28.923041		21.795687		22.321893		22.321894		-28.923040		-45.469101
-41.782847		28.925400		21.793385		22.323408		22.323408		-28.925400		-45.345665
-41.780406		28.926906		21.790066		22.326582		22.326582		-28.926907		-45.193489
-41.788312		28.932763		21.803504		22.327147		22.327147		-28.932764		-45.128490
-41.780645		28.929980		21.801743		22.331157		22.331156		-28.929979		-45.133499
-41.784844		28.932179		21.818574		22.332524		22.332525		-28.932178		-45.139709
-41.789975		28.937831		21.813603		22.331461		22.331461		-28.937832		-44.995693
-41.789366		28.932729		21.829111		22.331394		22.331394		-28.932730		-44.902695
-41.792006		28.936076		21.833096		22.328124		22.328123		-28.936075		-44.774471
-41.785916		28.931664		21.847440		22.324473		22.324472		-28.931664		-44.624886
-41.786655		28.926602		21.876449		22.324519		22.324520		-28.926603		-44.548027
-41.791979		28.928160		21.858757		22.319016		22.319016		-28.928160		-44.488792
-41.789113		28.923399		21.861026		22.323758		22.323757		-28.923399		-44.564571
-41.787432		28.922508		21.855318		22.320636		22.320637		-28.922508		-44.497066
-41.790451		28.925527		21.856038		22.321357		22.321358		-28.925528		-44.333603
-41.791030		28.922778		21.856484		22.324502		22.324503		-28.922777		-44.332294
-41.789779		28.922221		21.862925		22.324193		22.324194		-28.922220		-44.378384
-41.791416		28.920162		21.856253		22.327666		22.327667		-28.920162		-44.531364
-41.788539		28.916781		21.867227		22.323913		22.323914		-28.916780		-44.446732
-41.787305		28.919533		21.887830		22.322909		22.322908		-28.919533		-44.541458
-41.789529		28.919724		21.913211		22.329966		22.329966		-28.919724		-44.674999
-41.783871		28.921514		21.920589		22.339209		22.339209		-28.921515		-44.745770
-41.777273		28.918550		21.912439		22.334985		22.334986		-28.918550		-44.890987
-41.780442		28.921832		21.900972		22.330276		22.330276		-28.921831		-44.978500
-41.774555		28.918891		21.899565		22.329676		22.329676		-28.918892		-45.025772
-41.776037		28.918198		21.884278		22.321681		22.321682		-28.918198		-45.067188
-41.773557		28.915719		21.885784		22.323188		22.323187		-28.915718		-44.968636
-41.773196		28.916934		21.875822		22.325944		22.325943		-28.916935		-44.844585
-41.770156		28.912464		21.867906		22.320261		22.320261		-28.912464		-44.840672
-41.780475		28.918492		21.871578		22.323606		22.323606		-28.918491		-44.814201
-41.772614		28.910630		21.873588		22.325616		22.325615		-28.910629		-44.715714
-41.776353		28.918089		21.859893		22.327036		22.327036		-28.918089		-44.614639
-41.778368		28.919089		21.854352		22.318114		22.318115		-28.919088		-44.397701
-41.783259		28.923980		21.865446		22.329208		22.329208		-28.923979		-44.287731
-41.793305		28.928272		21.863914		22.329768		22.329769		-28.928272		-44.208649
-41.795628		28.928484		21.855755		22.327977		22.327978		-28.928484		-44.194862
-41.794208		28.923331		21.863227		22.325281		22.325281		-28.923330		-44.139507
-41.797962		28.926469		21.860925		22.329190		22.329189		-28.926470		-44.250885
-41.794640		28.923816		21.856033		22.325307		22.325306		-28.923817		-44.266598
-41.801048		28.927244		21.863954		22.332581		22.332581		-28.927244		-44.387806
-41.797455		28.923495		21.857435		22.326915		22.326916		-28.923494		-44.448772
-41.798776		28.924092		21.849835		22.327955		22.327955		-28.924093		-44.555664
-41.802600		28.928409		21.855288		22.328694		22.328695		-28.928410		-44.669659
-41.791910		28.926022		21.858641		22.326220		22.326220		-28.926022		-44.791527
-41.795858		28.929970		21.863776		22.331355		22.331354		-28.929970		-44.877804
-41.796387		28.929615		21.860312		22.326387		22.326387		-28.929615		-44.944679
-41.792024		28.921886		21.873755		22.330482		22.330482		-28.921886		-44.870766
-41.799219		28.924898		21.862430		22.330624		22.330624		-28.924898		-44.762920
-41.796584		28.925411		21.877171		22.330274		22.330275		-28.925411		-44.711334
-41.794111		28.926346		21.873530		22.329456		22.329456		-28.926346		-44.665833
-41.790086		28.930267		21.883529		22.329246		22.329247		-28.930267		-44.652733
-41.787395		28.927576		21.881702		22.327419		22.327419		-28.927576		-44.614288
-41.784896		28.924649		21.874156		22.329478		22.329477		-28.924648		-44.660484
-41.785145		28.926510		21.884879		22.331957		22.331957		-28.926510		-44.825363
-41.785003		28.926380		21.871659		22.328725		22.328726		-28.926380		-44.990292
-41.785009		28.927893		21.860771		22.326225		22.326225		-28.927893		-45.056133
-41.776841		28.927316		21.839236		22.316649		22.316648		-28.927317		-44.955791
-41.779287		28.925243		21.844658		22.319405		22.319405		-28.925243		-44.847816
-41.774774		28.920664		21.833806		22.319754		22.319754		-28.920664		-44.902905
-41.770823		28.916712		21.833343		22.319291		22.319290		-28.916712		-44.982315
-41.773366		28.920288		21.840690		22.320100		22.320101		-28.920288		-45.056103
-41.772879		28.919110		21.845417		22.328739		22.328739		-28.919109		-45.215950
-41.778341		28.915162		21.839674		22.330795		22.330795		-28.915161		-45.303429
-41.775001		28.911822		21.840963		22.332084		22.332085		-28.911821		-45.326187
-41.774724		28.912850		21.827751		22.329287		22.329287		-28.912849		-45.553825
-41.776398		28.914465		21.831132		22.331204		22.331205		-28.914465		-45.680798
-41.767987		28.914493		21.830634		22.325546		22.325546		-28.914492		-45.794685
-41.773542		28.921804		21.825529		22.323748		22.323748		-28.921804		-45.889896
-41.776598		28.924051		21.833596		22.320990		22.320990		-28.924051		-45.963318
-41.772532		28.920517		21.830437		22.321736		22.321735		-28.920517		-46.080864
-41.782534		28.925995		21.835965		22.328508		22.328508		-28.925995		-45.987125
-41.783135		28.924724		21.833429		22.332654		22.332655		-28.924725		-45.972507
-41.784435		28.923020		21.829806		22.333242		22.333242		-28.923019		-46.165878
-41.783445		28.925981		21.828639		22.335965		22.335964		-28.925982		-46.364101
-41.781105		28.924359		21.831836		22.331302		22.331303		-28.924358		-46.384315
-41.784656		28.925534		21.832545		22.337563		22.337563		-28.925533		-46.396908
-41.781107		28.921985		21.826369		22.331387		22.331387		-28.921986		-46.444836
-41.799603		28.923228		21.831091		22.334847		22.334846		-28.923229		-46.568653
-41.802708		28.923413		21.829950		22.338316		22.338316		-28.923412		-46.596287
-41.808846		28.923631		21.831209		22.332120		22.332119		-28.923632		-46.547993
-41.816165		28.926568		21.828434		22.330151		22.330151		-28.926569		-46.470207
-41.810874		28.923628		21.820644		22.325749		22.325748		-28.923628		-46.452396
-41.807533		28.922733		21.818014		22.326889		22.326889		-28.922733		-46.446136
-41.801829		28.919742		21.828360		22.332818		22.332819		-28.919741		-46.490295
-41.808480		28.927190		21.820097		22.336412		22.336412		-28.927191		-46.655880
-41.799587		28.918297		21.815107		22.331423		22.331423		-28.918297		-46.704372
-41.807526		28.920739		21.811594		22.331510		22.331511		-28.920738		-46.767796
-41.802949		28.918618		21.817465		22.330093		22.330093		-28.918617		-46.728821
-41.799633		28.914499		21.813367		22.324796		22.324797		-28.914499		-46.543579
-41.805286		28.920869		21.806585		22.321951		22.321951		-28.920868		-46.496597
-41.794871		28.916012		21.793090		22.317916		22.317917		-28.916012		-46.489254
-41.797072		28.918608		21.795476		22.319827		22.319826		-28.918608		-46.570347
-41.801232		28.921005		21.794953		22.320647		22.320646		-28.921005		-46.507317
-41.801909		28.921681		21.798395		22.324089		22.324089		-28.921680		-46.304581
-41.804220		28.917949		21.790228		22.317206		22.317205		-28.917948		-46.088802
-41.807198		28.927005		21.797096		22.316830		22.316830		-28.927006		-45.850250
-41.808547		28.920749		21.798023		22.317507		22.317507		-28.920750		-45.802448
-41.811569		28.926370		21.796098		22.320111		22.320110		-28.926371		-45.844650
-41.811050		28.922176		21.805691		22.320471		22.320471		-28.922176		-45.792629
-41.823160		28.933026		21.799785		22.322645		22.322645		-28.933025		-45.533569
-41.811607		28.926452		21.794229		22.319713		22.319714		-28.926453		-45.379765
-41.806722		28.923413		21.791017		22.322609		22.322609		-28.923412		-45.288418
-41.806999		28.923689		21.790307		22.321898		22.321898		-28.923689		-45.296646
-41.802063		28.920763		21.788493		22.319303		22.319304		-28.920763		-45.315449
-41.808337		28.923095		21.809986		22.323165		22.323166		-28.923096		-45.246181
-41.806367		28.918089		21.806827		22.325052		22.325052		-28.918089		-45.216408
-41.800816		28.918847		21.793278		22.321977		22.321978		-28.918846		-45.271370
-41.796680		28.914711		21.791927		22.320626		22.320625		-28.914711		-45.220829
-41.797991		28.915964		21.794167		22.323104		22.323103		-28.915964		-45.232822
-41.790351		28.911398		21.783977		22.315488		22.315489		-28.911398		-45.370674
-41.797338		28.916057		21.788422		22.314148		22.314148		-28.916058		-45.489670
-41.796275		28.914305		21.788967		22.317742		22.317741		-28.914305		-45.425228
-41.790829		28.914793		21.784137		22.316786		22.316786		-28.914793		-45.498196
-41.791054		28.916866		21.782423		22.321142		22.321142		-28.916866		-45.528957
-41.789502		28.913799		21.788945		22.322870		22.322870		-28.913799		-45.455532
-41.790781		28.914267		21.782726		22.325933		22.325933		-28.914267		-45.463715
-41.798331		28.915978		21.793375		22.328640		22.328640		-28.915977		-45.486088
-41.796176		28.913823		21.796512		22.331776		22.331776		-28.913824		-45.418339
-41.792579		28.912478		21.793330		22.330595		22.330595		-28.912477		-45.232845
